id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,accommodates,bedrooms,beds,bathrooms,room_type_ord,amenity_count,minimum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_superhost,host_identity_verified_f,is_instant_bookable,host_response_rate_f,host_acceptance_rate_f,host_response_time_ord,has_license,has_wifi,has_kitchen,has_ac,has_gym,has_parking,has_pool,has_washer,has_dryer,has_elevator,has_doorman,has_pets_allowed,dist_subway_km,near_subway,subway_lines_500m,nearest_subway_cbd,nearest_subway_ada,dist_lirr_km,lirr_count_1mi,poi_count_500m,poi_count_1km,tourist_poi_500m,crime_count_500m,estimated_occupancy_l365d,estimated_revenue_l365d,boro_Bronx,boro_Brooklyn,boro_Manhattan,boro_Queens,boro_Staten Island,prop_Entire home,prop_Hotel room,prop_Other,prop_Private room,prop_Shared room,price_numeric,log_price
47397326,40.74757,-73.98887,Midtown,Manhattan,4,0.0,2.0,1.0,3,22,1,223,257,41,4.39,4.58,4.77,4.43,4.87,4.72,4.9,4.47,0,1,1,1.0,1.0,1.0,1,1,1,0,0,0,0,1,1,0,0,0,0.23133265764513447,1,11,1,0,0.4611887945251079,2,265,935,145,2895,255,47175.0,False,False,True,False,False,True,False,False,False,False,185.0,5.225746673713202
47444016,40.70536,-74.00664,Financial District,Manhattan,4,0.0,1.0,1.0,3,33,1,337,59,19,1.43,4.75,4.69,4.68,4.92,4.86,4.9,4.63,0,1,0,0.96,0.59,1.0,1,1,0,1,1,0,0,1,0,1,0,1,0.2634204992019371,1,4,1,0,3.4108384693044593,0,332,740,191,226,243,83106.0,False,False,True,False,False,True,False,False,False,False,342.0,5.8377304471659395
47474703,40.822746232905345,-73.94631890411856,Harlem,Manhattan,3,1.0,1.0,1.0,2,71,2,275,142,20,2.45,4.79,4.87,4.85,4.74,4.94,4.87,4.78,0,1,1,1.0,1.0,1.0,1,1,1,1,0,1,0,1,1,0,0,1,0.28740636450251367,1,4,0,0,7.90516956333498,0,118,439,45,678,255,48960.0,False,False,True,False,False,False,False,False,True,False,192.0,5.262690188904886
47493324,40.748,-73.98852,Midtown,Manhattan,5,0.0,3.0,1.0,3,24,1,126,317,60,5.43,4.64,4.74,4.5,4.85,4.76,4.9,4.57,0,1,1,1.0,1.0,1.0,1,1,1,0,0,0,0,1,1,1,0,0,0.18073733864282646,1,11,1,1,0.45481049481670127,2,260,944,143,2867,255,54825.0,False,False,True,False,False,True,False,False,False,False,215.0,5.375278407684165
47553112,40.74795,-73.98693,Midtown,Manhattan,4,0.0,2.0,1.0,3,27,1,213,60,39,1.02,4.47,4.65,4.42,4.93,4.82,4.85,4.2,0,1,1,1.0,1.0,1.0,1,1,1,1,0,0,0,1,1,1,0,0,0.19927799178807923,1,12,1,1,0.5726239560716202,2,223,953,111,2531,255,59670.0,False,False,True,False,False,True,False,False,False,False,234.0,5.459585514144159
47924038,40.72023,-73.99401,Lower East Side,Manhattan,2,0.0,1.0,1.0,2,27,15,56,40,6,0.7,4.8,4.83,4.9,4.88,4.65,4.88,4.63,0,1,0,0.8,0.91,3.0,1,1,1,1,0,0,0,1,1,1,0,0,0.00974725077406251,1,6,1,0,3.3477888851321027,0,186,817,78,733,180,36000.0,False,False,True,False,False,False,True,False,False,False,200.0,5.303304908059076
47933628,40.74844,-73.99511,Chelsea,Manhattan,1,1.0,1.0,0.0,2,26,1,202,17,15,1.19,4.65,4.59,4.35,4.88,4.65,4.76,4.41,0,1,1,1.0,0.99,1.0,1,1,1,1,0,0,0,1,1,0,0,0,0.2004068654199763,1,6,1,0,0.277153190314256,1,221,871,112,1822,192,36480.0,False,False,True,False,False,False,False,False,True,False,190.0,5.25227342804663
47848650,40.63351717444318,-74.09251100055944,Tompkinsville,Staten Island,2,1.0,1.0,1.0,3,17,3,331,47,21,0.89,4.91,4.94,4.98,4.98,4.96,4.89,4.83,1,1,0,1.0,0.94,2.0,1,1,1,1,0,1,0,1,1,0,0,0,1.5395882683230753,0,0,0,0,11.268228204310374,0,20,80,9,49,255,25500.0,False,False,False,False,True,True,False,False,False,False,100.0,4.61512051684126
47848693,40.63168981830136,-74.09281052334971,Tompkinsville,Staten Island,1,1.0,1.0,1.0,2,21,3,355,31,9,0.59,4.87,4.87,4.94,4.84,4.94,4.94,4.77,1,1,0,1.0,0.94,2.0,1,1,1,1,0,1,0,1,1,0,0,0,1.547366807207736,0,0,0,0,11.393489927781099,0,22,70,7,25,115,9200.0,False,False,False,False,True,False,False,False,True,False,80.0,4.394449154672439
47869588,40.75637,-73.99707,Hell's Kitchen,Manhattan,9,4.0,4.0,1.0,3,15,2,179,41,0,0.75,4.32,4.39,4.07,4.83,4.61,4.78,4.46,0,1,0,1.0,0.99,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0.41126686257129813,1,1,1,1,0.7558921021501316,1,188,640,99,4178,0,0.0,False,False,True,False,False,True,False,False,False,False,1200.0,7.0909098220799835
