listing_id,mean_sentiment,median_sentiment,num_reviews,positive_ratio,negative_ratio,neutral_ratio,segment
1170443689607051726,0.3914617639321541,0.36500000000000005,840,0.9642857142857143,0.025,0.010714285714285714,satisfactory
1170446381119755665,0.477641125032002,0.45722222222222225,744,0.9690860215053764,0.010752688172043012,0.020161290322580645,satisfactory
1170447796069675601,0.3703042518122042,0.3816666666666667,629,0.875993640699523,0.0890302066772655,0.034976152623211444,moderate
1170449637391846183,0.3861262175418141,0.36,790,0.9265822784810127,0.06582278481012659,0.007594936708860759,satisfactory
1170451381770726306,0.39631863862171135,0.4,666,0.8843843843843844,0.057057057057057055,0.05855855855855856,moderate
1170453307286952641,0.38896159510324874,0.39,798,0.9373433583959899,0.04887218045112782,0.013784461152882205,satisfactory
1170455226677183433,0.42653841836036005,0.3674829931972789,609,0.9326765188834154,0.013136288998357963,0.054187192118226604,satisfactory
1170456838784966947,0.390978920662867,0.3677083333333333,559,0.9588550983899821,0.04114490161001789,0.0,satisfactory
1170458830141183381,0.41956898785862284,0.4222222222222222,620,0.9306451612903226,0.05,0.01935483870967742,satisfactory
1170461052236041690,0.3680288530892008,0.35555555555555557,654,0.8761467889908257,0.045871559633027525,0.0779816513761468,moderate
1170462643049849090,0.3625636182118004,0.33555555555555555,803,0.9016189290161893,0.0323785803237858,0.0660024906600249,satisfactory
1170464440178951116,0.4198214842948941,0.40185185185185185,780,0.9371794871794872,0.047435897435897434,0.015384615384615385,satisfactory
1170560542670562358,0.3215384615384615,0.38,13,0.8461538461538461,0.0,0.15384615384615385,moderate
1170607520338340546,0.5670893719806763,0.5923611111111111,46,1.0,0.0,0.0,satisfactory
1170670494932737213,0.419810480776558,0.38333333333333336,163,0.9570552147239264,0.04294478527607362,0.0,satisfactory
1170967759871837750,0.4051515151515152,0.4051515151515152,11,1.0,0.0,0.0,satisfactory
1170996373078796198,0.41182631706528766,0.4,102,0.9313725490196079,0.0392156862745098,0.029411764705882353,satisfactory
1171012769356179541,0.4417365097963502,0.4222222222222222,282,0.9680851063829787,0.024822695035460994,0.0070921985815602835,satisfactory
1171092946447246095,0.43093385383538474,0.4125,426,1.0,0.0,0.0,satisfactory
1171165805793847671,0.2853034920634921,0.35555555555555557,5,1.0,0.0,0.0,satisfactory
1171189068797057776,0.2869212962962963,0.2869212962962963,11,1.0,0.0,0.0,satisfactory
